bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
2.0;1.0;1.0;27.000000000000004;0.0;1.0;1.0;1.0;1098.4;28032.0;228.0;-3.6230000854982753;40.3975337996104;124.0;431.8;90.0;60.0;1.0;180.0;30.0;33.0
2.0;4.0;8.0;32.0;1.0;0.0;6.0;1.0;2410.0;28014.0;500.0;-3.699024334436068;40.41309803529764;299.0;473.2000000000001;11.0;5.0;1.0;80.0;3.0;99.0
1.0;0.0;3.0;20.0;1.0;0.0;2.0;2.0;1690.0;28004.000000000004;178.0;-3.696550894418741;40.42351929455434;46.0;333.0;68.0;38.0;1.0;68.0;8.0;58.00000000000001
1.0;0.0;2.0;31.2;1.0;0.0;1.0;1.0;1258.4;28004.000000000004;269.99999999999994;-3.705762177892824;40.42681615568267;1244.0;285.19999999999993;20.0;9.0;5.0;263.0;3.0;38.0
2.0;3.0000000000000004;8.0;25.000000000000004;0.0;1.0;6.0;4.0;1316.0;28012.000000000004;140.0;-3.704304540352708;40.413329896898816;332.0;396.6;33.0;24.0;5.0;292.0;8.0;150.0
1.0;2.0;6.0;30.0;1.0;0.0;3.0;1.0;4656.0;28004.000000000004;200.0;-3.700015083696896;40.4268774914196;2175.0;361.0;43.0;22.0;14.0;313.0;6.0;195.0
3.0;4.0;12.0;65.0;1.0;0.0;12.0;8.0;1762.0;28043.0;160.0;-3.6518301005082128;40.46678161688102;1675.0;397.6;61.0;37.0;4.0;334.0;11.0;155.0
1.0;1.0;2.0;14.0;0.0;1.0;1.0;1.0;1397.4;28013.0;90.0;-3.710323117355409;40.42230204829488;1029.0;175.0;0.0;0.0;2.0;0.0;0.0;28.000000000000004
1.0;1.0;3.0;43.8;1.0;0.0;2.0;1.0;5956.0;28012.000000000004;229.0;-3.7015117613085446;40.41426487897974;1542.0;398.8;90.0;60.0;17.0;365.0;30.0;221.0
1.0;2.0;4.0;35.0;1.0;0.0;3.0;2.0;1930.0;28036.0;250.0;-3.679910151354577;40.46421895142548;67.0;479.0;74.0;44.0;1.0;344.0;14.0;110.0
1.0;1.0;4.0;25.0;1.0;0.0;2.0;2.0;1333.0000000000002;28013.0;139.99999999999997;-3.707798478433542;40.41897136083357;555.0;421.0;34.0;18.0;11.0;253.0;3.0;89.00000000000001
1.0;1.0;4.0;29.0;1.0;0.0;2.0;2.0;1949.8;28015.0;200.0;-3.70754490303514;40.42211432236907;30.0;348.0;35.0;18.0;1.0;310.0;8.0;64.0
2.0;1.0;2.0;15.000000000000002;0.0;1.0;1.0;1.0;1283.2;28012.000000000004;219.0;-3.707248413406464;40.41243416934165;1066.0;479.6;36.0;6.0;114.0;311.0;0.0;25.0
