Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
100.0;1.0;1.0;28005.0;40.413326128427656;-3.710651557896291;4;2.0;2.0;2.0;;120.0;780.0;2230.0;;40.0;1;0;3;1125;2;8;18;79;15;90.0;9.0;9.0;9.0;10.0;9.0;9.0;1.0;0.86;551.0;494.0;1;0;0;
100.0;2.0;2.0;28027.0;40.44120415836502;-3.637955881745112;4;1.0;3.0;4.0;;60.0;;;150.0;30.0;1;0;5;30;7;19;49;49;6;93.0;9.0;9.0;10.0;9.0;8.0;9.0;1.0;1.45;589.0;122.0;1;0;0;
100.0;3.0;3.0;28004.0;40.425632389190056;-3.699912022364898;2;1.0;0.0;1.0;;43.0;;;;25.0;1;0;3;1125;4;13;13;18;35;85.0;9.0;9.0;9.0;9.0;10.0;9.0;3.0;3.22;1414.0;298.0;1;0;0;
;1.0;1.0;28045.0;40.39482096968235;-3.6968689281060687;1;1.0;1.0;1.0;;11.0;;;;;1;0;7;1125;0;0;0;157;0;;;;;;;;1.0;;208.0;;0;1;0;
;1.0;1.0;28032.0;40.3975337996104;-3.6230000854982753;1;2.0;1.0;1.0;;33.0;;;;;1;0;1;1125;30;60;90;180;0;;;;;;;;1.0;;124.0;;0;1;0;
80.0;1.0;1.0;28014.0;40.41309803529764;-3.699024334436068;8;2.0;4.0;6.0;;99.0;;;500.0;;1;0;2;1125;3;5;11;80;26;91.0;9.0;9.0;10.0;9.0;10.0;9.0;1.0;3.38;299.0;222.0;1;0;0;
100.0;1.0;1.0;28004.0;40.42351929455434;-3.696550894418741;3;1.0;0.0;2.0;;58.0;;;;20.0;2;5;2;1125;8;38;68;68;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;2.25;46.0;12.0;1;0;0;
100.0;5.0;5.0;28004.0;40.42681615568267;-3.705762177892824;2;1.0;0.0;1.0;;38.0;;;;;1;0;1;1125;3;9;20;263;192;84.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;8.4;1244.0;679.0;1;0;0;
96.0;5.0;5.0;28012.0;40.413329896898816;-3.704304540352708;8;2.0;3.0;6.0;;150.0;;;;;4;5;1;90;8;24;33;292;20;92.0;9.0;10.0;10.0;10.0;10.0;9.0;5.0;2.93;332.0;199.0;0;1;0;
33.0;14.0;14.0;28004.0;40.4268774914196;-3.700015083696896;6;1.0;2.0;3.0;;195.0;;4656.0;200.0;30.0;1;0;3;20;6;22;43;313;5;96.0;10.0;10.0;9.0;10.0;10.0;10.0;14.0;0.1;2175.0;908.0;1;0;0;
